Review,Positive,Negative,Neutral,Compound,Sentiment
As a sunscreen this product works I did not get sunburned when I was wearing it despite being in full sun That is the only positiveThis sunscreen is difficult to apply and left a visible white cast on my already pale skin The worst part is that the lotion stays sticky and doesnt ever feel like it sinks in or dries I could not stand the stickiness and wont be using the rest of the bottle,0.0,0.114,0.886,-0.8276,Negative
Worked well for protection and didnt cause me to break out however it does not blend in at all so my face was covered in white,0.077,0.0,0.923,0.2732,Positive
If you happen to not be quite white  you may see a white sheen on your skin Trust me  it doesnt absorb and go away  The actual texture of the texture of the sunscreen is nice and not too sticky  Im sure the sunscreen is itself good quality  but I took it off before even going outside because I looked a bit sickly,0.122,0.0,0.878,0.6858,Positive
I love CeraVe products and really wanted to love this facial sunscreen I have dry skin and this is thick and made my skin even drier  Perhaps it will work on others it just didnt work for me I will keep and use it just not on my face,0.16,0.0,0.84,0.8555,Positive
Ive used many cerve products This sunscreen has titanium dioxide and zinc oxide in it Titanium dioxide normally does not work on dark skin It will either have a gray cast  In this situation  its blue So for a sunscreen  I say go for it But if youre leaving your home to go somewhere important  that would not be the day to use this If youre going to lay out on your patio or balcony then sure But not to go to a store and run errands,0.06,0.0,0.94,0.631,Positive
Was recommended by my dermatologist for facial sun exposure with roseacea Works great Much less redness after sun exposure My only complaint would be that it doesnt blend all that well and leaves a bit of a white film Not enough for me to stop using it though,0.15,0.082,0.768,0.5574,Positive
I was tired of spending 40 on other facial sunscreens so decided to give this a try Yes it does the job and provides solid protection from the sun BUT and this is a dealbreaker for me it takes forever to absorb into your face I like to put sunscreen on under my foundation every day I live in Phoenix and being in the sun is often unavoidable and even a normal dose of this makes your face completely white and ghostlike for hours So I wont be purchasing again I think this product is better served for people hanging out by the pool I wouldnt call this a daily sunscreen,0.095,0.018,0.887,0.8074,Positive
It honestly not that good for cerave products one it stinks like chemicals but it smells a lot like thread locker to me the sunscreen is thicccccc and hard to blend out but other then that its good lol,0.22,0.163,0.617,0.5842,Positive
This is a good product for it for my husband and dad they ended up not using them because the crème used sooo visible and does not absorb,0.1,0.0,0.9,0.4404,Positive
When using it it is very flakey and difficult to rub into the skin I always look super pale and  it isnt just me not rubbing it in well Idk why it has that weird consistency but it does and it sucks,0.086,0.165,0.75,-0.3983,Negative
First of all its really hard to produce an spf50 sunscreen that does not leave any white castI would not recommend this sunscreen for darker shades unless you want to look like Mark Zuckerberg surfing in Hawaii Even applying a pea sized amount of sunscreen will leave a very noticeable white cast The CeraVe spf 30 is much better for darker skin tones if you really work it in However if you have pale skin like me their spf 50 really isnt too bad Taking this into account I want to point out the positives of this sunscreen1 It does not have that think sunscreen smell It doesnt have any smell which is nice I wear sunscreen everyday of the year and it is nice to have one that does not have me smelling like a pool2 It blends in fairly nicely when your face is moisturized When I first started putting on this sunscreen I was disappointed because I have very pale skin with rosacea on my cheeks Even with my pale skin the white cast was noticeable for the rest of the day However I noticed that if my face is moisturized or even a little greasy before application It will not leave a horrible white cast3 It soothed my rosacea My face is pretty much red all the time and looks irritated after a workout However after a few weeks of using this sunscreen I noticed that my rosacea is pretty calm at the end of the day This only happens when I wear this sunscreen I am not sure if it is because of the niacinamide in this sunscreen but that was a nice surprise,0.135,0.03,0.835,0.9621,Positive
A little of product goes a long way because it leaves a white cast on skin that is hard to spread out Its thick when applying but it doesnt feel like it on the face Theres no sunscreen smell to it,0.0,0.16,0.84,-0.6873,Negative
Report abuse,0.0,0.808,0.192,-0.6369,Negative
I have been using this product for my face for several years This is the one that has worked best for me giving me protection when no other product hasI see reviews that say it gives a white cast and is hard to spreadI use a tiny bit of moisturizer first and before it dries I apply the CeraveThat helps it to spread easily and absorb completelyno white cast for meIf you have dark skin you may wish to avoid products with zinc oxide,0.155,0.063,0.782,0.8591,Positive
This product works really well and spreads super easily I like the feeling of it on and it doesnt have any oily after residue My only complaint is that the white tint is pretty bad on this one It takes a while to get it in your skin enough to even leave the house,0.242,0.105,0.654,0.8399,Positive
CeraVe is a great brand contains good ingredients but leaves a white cast on your skin,0.273,0.0,0.727,0.5423,Positive
The protection and the moisturizer,0.0,0.0,1.0,0.0,Neutral
Putting sunscreen on was never a normal part of my skincare routine until recently I tried a few primers with sunscreen and they would give little to no protection and wore off quickly I absolutely love this product I havent had a sunburn on my face all summer,0.097,0.041,0.862,0.5531,Positive
Love it,0.808,0.0,0.192,0.6369,Positive
I like it  Im  using every  also my skin look  flawless,0.42,0.0,0.58,0.7003,Positive
Works nice and removed my acne scars Has white residue after applying,0.203,0.0,0.797,0.4215,Positive
Unfortunately leaves a white cast on my face Ill probably only use it for beachIt doesnt leave any white cast on neck and other areas,0.042,0.19,0.768,-0.6189,Negative
All the chemical sunscreens seem to irritate my eyes  The zinc ones dont  This product is not that thick but it doesnt fully disappear no matter how much you work it in  There is a white sheen to my face  I also feel it doesnt really dry with a dewy feel to the skin instead of dry  Ill continue to use this until I find something better,0.142,0.077,0.781,0.5804,Positive
Goes on easily for great coverage,0.619,0.0,0.381,0.7579,Positive
I have a very sensitive skin and surfing in the Californian sun is pretty brutalDespite spreading the sunscreen a lot and regularly I got sunburntWould not recommend for water and extreme conditionsHowever the screen did not create any dermatological issues,0.08,0.098,0.822,0.0711,Positive
Im sure it provides good protection but it was impossible to spread it nicely on my face I always just ended up looking like I had a thick layer of white stuff on my face I guess thats fine for going to the beach but not really acceptable for life in the city I much prefer CeraveAM because it can be rubbed in reasonablywell and I dont end up looking like a ghost though I guess its not quite as protective as this product,0.18,0.064,0.757,0.8567,Positive
This was great except left my olive skin white Had to send back,0.255,0.0,0.745,0.6249,Positive
For women of color youll appear ashy,0.0,0.0,1.0,0.0,Neutral
Works GREAT for sun protection and if you have semisensitive skin it didnt ever break me out or irritate my skin Kinda hard to rub inspread and DEFINITELY leaves a white cast no matter how much you rub it in,0.193,0.126,0.681,0.6439,Positive
I have used other products from this brand before and have liked them a lot however this was not great This stuff is so thick that I have to thin it out with moisturizer and even then it just sits on top of my skin making me look Gastly pale IF I managed to get all the lines out In the future I would probably only wear this if I was going to then put makeup on top,0.082,0.042,0.875,0.2746,Positive
Good sunscreen however its not the easiest to spread and leaves white undertone,0.179,0.144,0.678,0.1451,Positive
This protected me from the sun but I had to rub the sunscreen in for like 7 minutes because it left such a white cast on my face I felt like I put on foundation for clown makeup,0.22,0.0,0.78,0.8151,Positive
I got this because I wanted a sunblock to apply under my makeup This was not it Not only does it leave really bad white cast but its hard to spread and doesnt sit well under foundation,0.0,0.196,0.804,-0.6505,Negative
I had very high hopes for this as I love  use many CeraVe products While this did a great job of protecting my face from the sun it was extremely hard to spread  left a white film over my face No matter how much I tried to rub it in it still remained white  thick feeling,0.226,0.063,0.711,0.8775,Positive
I am naturally pale as a ghost so this may be playing a part in it but I did have some white cast immediately after putting it on but working it in and letting it set did the trick My skin feels smooth and hydrated not sticky at all and I love that there is no added scent,0.118,0.094,0.788,0.5346,Positive
There is no problem with this product,0.0,0.495,0.505,-0.5994,Negative
Since this is a mineral sunscreen it does leave a white chalky effect on the face The sunscreen does need to be applied or blended throughly which takes a lot of time But it does give a good protection,0.101,0.029,0.87,0.5789,Positive
I love Cerave products And I was excited to buy this 50 spf sunblock for the face  When I finally used it I found that it was difficult to blend onto skin and it leaves an obvious white cast It also clumps up on pores and black heads that is clearly visible to the naked eye I dont think Ill purchase this again unfortunately,0.167,0.07,0.762,0.7738,Positive
I have been a big fan of CeraVe for a long time I use their face wash daily and day creams for under eyes and face I am not in the Sun much  but occasionally do go outside This is wonderful as I do not sweat it off,0.143,0.0,0.857,0.7717,Positive
Not at all easy to spread or be absorbed  Very white,0.0,0.194,0.806,-0.3412,Negative
Does not blend in Leaves skin tacky and glowing Very disappointed,0.0,0.253,0.747,-0.5256,Negative
This feels great on the skin and good for sun protection but does not blend into the skin  Leaves a heavy white cast which wouldnt look pretty going out into public  Not an everyday SPF to wear under makeup,0.105,0.08,0.815,0.015,Neutral
CeraVe is a great Zinc based sunscreen when you have to be outdoors a long time otherwise it is too thick too white and pore clogging  I only use it if Im going to be outside for long periods of time it always clogs my pores where other sunscreens dont,0.082,0.0,0.918,0.6249,Positive
Works great protecting my skin from sun  Just wont use on my face  Looks like you dipped your face in flour when dry,0.239,0.0,0.761,0.765,Positive
Moisturizing but leaves too much of a white cast on your face,0.0,0.0,1.0,0.0,Neutral
Even as a pasty ginger the white paintlike consistency was a difficult to manage It doesnt spread well and hardly rubs in Definitely not for days you want to look cute But it works well,0.131,0.144,0.725,-0.1305,Negative
This product is to heavy in the face,0.0,0.0,1.0,0.0,Neutral
Perfect for my night skin and will last me forever You only need at most a pea sized amount I use about half of that,0.144,0.0,0.856,0.5719,Positive
I use this brands products for my face wash and face lotion love CeraVe This is my first time using the sunscreen and never again It leaves the dreaded white cast that those with dark skin like to avoid Its also very drying so was hard to spread it out to try and reduce the cast I have dry skin so because its no hydrating its made me feel itchy If you have oily skin youll be fine though makes you very matte,0.091,0.13,0.78,-0.3903,Negative
Its fine to use on your face if you dont mind having to wear foundation directly on top of it to offset the intense white cast,0.176,0.0,0.824,0.4404,Positive
Great balm  I think affordable  A bit better quality and density over the Cetaphil balm,0.389,0.0,0.611,0.7906,Positive
I love CeraVes facial 30 spf because it doesnt leave my skin with a white residue In fact I love Most of their moisturizers I wanted to give this product a try because I needed more coverage It is very effective but it did leave a very white residue on my face and wouldnt blend well with my makeup,0.167,0.038,0.794,0.6675,Positive
Translated from Spanish by Amazon,0.298,0.0,0.702,0.1779,Positive
I love most of their products but the sunscreen doesnt rub all the way in to my face which is such a bummer It definitely leaves a white cast on my face,0.173,0.096,0.731,0.4118,Positive
the white cast is kinda ridiculous but makeup covers it great product,0.327,0.093,0.58,0.7224,Positive
This is from a favorite company for facial moisturizers I wanted a non chemical facial SPF to use daily without needing to put regular products on first and was hoping for an economical alternative to my favorite El MD but this is not sheer for the face Oh well Ill use it on the back of my neck and arms,0.133,0.058,0.809,0.431,Positive
I cant believe I paid 16 to look like a kabuki reject Goes on difficult leaves you looking like a corpse hard to remove and gave me a headache almost immediately At least it doesnt smell Ill try it again next time I work outside Definitely for when you dont care what you look like but dont want skin cancer Cant imagine wearing it with makeup Might work under it but they insist you put it on last Hilarious I dont think itll hold up under sweat Maybe try a sweat band around the hairline,0.169,0.102,0.73,0.8313,Positive
leaves your face white,0.0,0.0,1.0,0.0,Neutral
When you initially put it on your face is white and doesnt really rub in,0.0,0.0,1.0,0.0,Neutral
Im brow skin and when I applied even the smallest amount that wouldnt even give proper protection there was a TERRIBLE white cast and after a while it feels really greasy Cerave has a a moisturizing lotion with sunscreen its still a little greasy but theres not white cast I like that one better,0.073,0.096,0.831,-0.0597,Negative
good protection but your face turns white good for exercise or outdoor activities but not for everyday use as it is very white and thick,0.201,0.0,0.799,0.7003,Positive
I got this sunscreen because I found my existing goto daily sunscreen had avobenzone and other potentially harmful ingredients and the ingredients in this are much better But Im lily white with a mild tan and this stuff looks like clown makeup on me Does a horrible job blending into your skin to the point that Im not comfortable going out in public with it on unless I use makeup to try to restore a normal shade of color to my skin Let a black friend try some too and it was so clearly just not made with them in mind Dont recommend this as a daily sunscreen,0.142,0.091,0.767,0.7243,Positive
My dermatologist recommended this brand Is a bit lighter and easier to spread than the body cream I like that it has no smell and is not as thick as other sunscreens Holds up well but reapply as per directions after swimming and after 2 hours Their video on how to apply helps Good product at reasonable price,0.218,0.025,0.757,0.882,Positive
I love this product because it doesnt contain all those other harmful chemicals I would give it a 5 star BUT sigh it just does not blend easily I have to dab very small amounts around my face in order for it to blend but it still doesnt spread well This makes it so time consuming when I need a quick skin routine in the morning Also it leaves my skin with a white tint again because it doesnt spread easily I love the product but its just so frustrating to work with,0.096,0.126,0.778,-0.4387,Negative
Amazing products I used elta md elements for years and this is apst identical for half the price I worked in dermatology for 16 years so I know whats good and this by far is an amazing sunscreen,0.252,0.0,0.748,0.8948,Positive
Really wanted to love this sunscreen because Im huge cerave fan but it is really hard to apply feels dry on skin and my face looks like a clown for hours in order for my face not to look white I have to apply makeup and I dont wear makeup for work,0.168,0.037,0.795,0.7385,Positive
Thick white residue difficult to conceal,0.0,0.333,0.667,-0.3612,Negative
Love the product and the fast delivery,0.412,0.0,0.588,0.6369,Positive
As mentioned in other reviews it leaves a white cast and has no safety sticker cover on the opening under the plastic cap It blends really nicely and has a nice texture though,0.231,0.058,0.711,0.7645,Positive
Thick white with pasty film that didnt resolve quickly I returned to search for another,0.0,0.144,0.856,-0.2924,Negative
The product has a bad white cast if you apply more than a pea size at a time,0.0,0.2,0.8,-0.5423,Negative
So hard to apply,0.0,0.361,0.639,-0.1761,Negative
This sunscreen offers great protection from the sun but it is not good for everyday use The formula leaves a terrible white cast on my skin I am fair in skin color but I can see white streaks across my face In addition its very hard to spread Once it touches the skin the lotion turns chalky or cakey and cant be rubbed across the face without crumbling I have been using this face sunscreen exclusively for running outside or going to the beach but I am in search of a new everyday sunscreen to wear under makeup,0.054,0.091,0.855,-0.5857,Negative
Its sunscreen Not lightweight Big White cast Hard to spread very thick But it protects from sun Ill be returning it as I need it for my face as its advertised and its too thick,0.076,0.126,0.798,-0.2382,Negative
Its cheap for sure but bad for your face First its not moisture at all then its very thick like toothpaste texture 3rd its not easy to spread out at all 4th when you put on your face it make your face 2 color whiterAnd I get my pore blocked a lot because of this sunscreenHorrible face sunscreen even its cheap dont waste your money,0.111,0.14,0.748,-0.4928,Negative
Loved this product,0.661,0.0,0.339,0.5994,Positive
I like that the spf rate is so high but the lotion is thick and leaves a noticeable white cast on the skin even at running it in thoroughly Or if u miss a spot youll have a white blur on your skin and find out in some embarrassing moment Im naturally very tan so it is noticeable on me,0.029,0.096,0.875,-0.6054,Negative
I have been using this sunscreen for years and was excited to see it offered on AmazonTo the reviewers who complain that it has an ashy cast you must understand that zinc and titanium oxide are made from a white powder so there is absolutely no way to make the sunscreen go on clear if you use any type of true mineralbased liquid sunscreen The best way to try and blend this sunscreen as much as possible is to warm it in your hands and apply small amounts in sections on your face It actually works best of you let your moisturizer sink in put the sunscreen on and let it sit on your face for a few moments so it doesnt peelThe new dispenser is great as it has a smaller opening so the sunscreen doesnt squeeze out a huge application As an individual who has sensitive skin and wears sunscreen everyday this product has been awesome at keeping my skin from breaking out and protecting it from the sun,0.14,0.037,0.823,0.9654,Positive
I love this sunscreen and with fair skin that is easily prone to burning I have to wear a serious sunscreen all the time This does the trick Some people may not like the fact that it isnt totally transparent and does show up as white on the skin I dont mind and expect that from a mineral based sunscreen that truly blocks out the harmful rays The most important thing for me is protection and this product delivers,0.163,0.076,0.761,0.8549,Positive
I ordered this product after I received a sample from my dermatologist  Best protection product Ive ever used  There were some nagative reviews because it goes on white and a thick application may stay white  However it depends on your individual needs  I am fair skinned and in my late 50s and just recently was diagnosed with Basel Cell Carcinoma a form of skin cancer on my nose and face  I need a product for sun block and protection  I want it caked on white and to stay white for blockage clear poduct on the best blockage and does not easily sweat off rub off or lose its effectiveness  So for me somebody who needs to protect my face from harmful rays here on out and I am not too proud to cake it on and have a slightly white nose when I am doing yard work playing golf or other outside activites  If you are concerned about appearance then maybe not for you  But if you are concerned about protecting your skin although may not look attractive this prouduct may be for you  I have yet to have a burn on my face with proper application  Wished they had this 20 years ago,0.064,0.064,0.872,-0.2273,Negative
I am a fan of Cerave just not of this mineral sunscreen  If you put it on dry or ashy skin it will turn all the dead skin blue and becomes very hard to run in once this happens,0.054,0.142,0.804,-0.5709,Negative
I saw other reviews that said this product was hard to put on looked pastywhite shiny This is not at all what Ive found with this sunscreen product It goes on semiclear smooth nongreasy easy to rub in I compared it with the Neutrogena Sheer Zinc SoftTouch 50 and the CereVe works better for me Its easier to put on  its more hydrating than the Neutrogena Sheer Zinc and doesnt make me look pastywhite The Neutrogena is thicker and harder to put on smoothly but its got a higher amount of zinc oxide whereas CereVe has titanium dioxide as well as zinc oxide I apply my sunscreen every hour when Im outside so the size tube could be smaller to fit into my pocket or fanny pack but Ill still find a way to carry it with me I like it and I know Ill use it Ill still use the Neutrogena product in certain situations but I think my goto sunscreen from now on will be the CeraVe I was not given any product nor was I paid for this Its just my opinion from using both products,0.089,0.062,0.849,0.5106,Positive
Not moisturizing felt like putting paste on my face  face felt dry and pulled Only used once and threw it out,0.0,0.095,0.905,-0.2755,Negative
Several years ago I became seriously sensitive to chemicalbased sunscreens I bought several mineralbased sunscreens but they were all very thick and looked terrible when applied I love CeraVe products so I bought some of their sunscreen It is much creamier than the previous ones Ive tried and applies easier Very happy with the CeraVe sunscreen,0.222,0.081,0.696,0.9098,Positive
I bought this item because I wanted a zinc sunscreen instead of a chemical sunscreen I like it but I cant wear it if I know Ill be wearing a mask Every time I try to wear this and have to put on a mask when I go inside at my college campus my face starts itching all over under the mask when moisture starts to build This is unavoidable because masks are required inside on my campus So I can only really use it when I know Ill just be outside or wont be required to wear a mask Its a good product and Im keeping it but its just really annoying that it causes so much itching when I sweat under a mask,0.047,0.095,0.858,-0.7776,Negative
I love this cream but it was misleading on Amazon It appeared I was ordering 2 Only one was in the package,0.192,0.147,0.661,0.0258,Neutral
Its too thick,0.0,0.0,1.0,0.0,Neutral
Im sure the sun protection is fine but it makes my darker skin look gray because it does not blend,0.145,0.0,0.855,0.2617,Positive
I bought this sunscreen after reading the ingredient list multiple times  I was shocked to find out that this cream was both mineralbased and didnt use oil as a binder  I am someone that cant stand chemical sunblock and its chemicals that can be just as damaging as UV rays themselves but every other sunscreen I tried that has zinc turns so oily on my skin that I might as well have dipped my face in canola oil after sweating for 5 minutes  Not only does this STAY on your face but it also doesnt change consistency to a gooey oily mess  For a comparison it has the consistency of the Eucerine Daily protection but less chemicals  It does leave a white cast be warned but if you blend it well enough it will look like you have a soft focus effect from a photo app going on if that makes sense  The only things that would have made this product better is if 1  It came in a larger size  who doesnt always request that    and 2 If it were cruelty free,0.089,0.086,0.825,0.3612,Positive
The moisturizing is the best as well as the protection,0.441,0.0,0.559,0.743,Positive
Too hard to blend in Makes me look too white Doesnt have that sunscreen smell though,0.0,0.085,0.915,-0.1027,Negative
I thought this would blend in with your skin tone It applies as if it was zinc ozide its thick way too white doesnt blend in and hard to wash offsuper dissatisfied based on the brandand price,0.0,0.105,0.895,-0.4588,Negative
Like it but face area was sensitive,0.226,0.0,0.774,0.1901,Positive
I was so exited to try it but not sure if 3 stars is even worth it I put a small amount in my hands then my face and it was a bit sticky and dry which made it difficult to spread I am very gentle with my face so I didnt was to rub too hard It left me soooo white and a bit sticky I just drove home and added Argan oil to be able to spread it then it was fine But I am not buying this or recommend it Not sure if adding oil is even a good idea but it helped or maybe I should have put something before But using it randomly definitely was not a good idea,0.175,0.073,0.751,0.9393,Positive
It does leave a super white cast on Tried rubbing it in  But after i put on makeup you cant see it anymore The tube didnt have a security aluminum peel off tab  dont know if thats normal Has a not so pleasant smell but its not the worst Ill be looking for a new spf after im done with this one,0.143,0.119,0.738,0.3894,Positive
It does what its supposed to do it protects my skin from the sun But it leaves a big white cast keep in mind Im already very pale and white but that sunscreen made me look like a literal ghost I dont normally wear makeup but the only way Id be able to go outside with that on was putting like 3 layers of powder on Overall it does exactly what its supposed to do and would not recommend if you are a person of color Would recommend if you wear makeup that could cover it up and not make you look like a ghost,0.1,0.099,0.801,0.0439,Neutral
I like that its mineral and paraben free but it leaves your skin too white so its not possible to wear it even if u apply just a little amount of the product,0.122,0.0,0.878,0.4404,Positive
I like the lotion,0.556,0.0,0.444,0.3612,Positive
Literally it makes you look like you are wearing sunscreen you are pale as a ghost Me my husband everyone who has used it in my family it is so thick that spreading it on it like rubbing calk on your face My foundation spreads easier I was hoping it would at least dry clear instead it dries whiter and rubs off like cheap lotion,0.212,0.031,0.757,0.9081,Positive
Rubs in clear,0.565,0.0,0.435,0.3818,Positive
This a mineral sunscreen what used to he called sunblock before everyone started calling everything sunscreen So companies followedThis uses minerals to reflect light off your face Which means there will be a strong white cast Its better for sensitive skin and doesnt need to be reapplied like sunscreens do they use molecules that absorb light but if you have a darker skin tone then this will look like white paste on your skinI like to layer a little bit of mineral sunscreensunblock over sunscreen to reduce white cast but increase the effectiveness of the protection,0.151,0.0,0.849,0.9231,Positive
My grandson has sensitive skin hell break out in a rash from random things But he also loves being outside and doing fun things He has eczema a very light case now but its been an issue Regular sun blocks would protect him from the sun but he would also break out because of the lotion He was have bumps or sometimes just a red irritated look for a day or two after using sun block My daughter had tried just about all the brandsSomeone told me that CeraVe had sun block and it was great My daughter had no idea they made sun block but she was familiar with their lotion because it was always the best in combating his eczema So I sent her a tube and its amazing He doesnt break out at all It is quite thick and takes a bit to soak in  so there may be a white sheen on the skin for a bit but its well worth it,0.172,0.126,0.702,0.9217,Positive
With this product I cannot do the 3 finger amount because it does not blend into my skin It makes my face turn into a light purple I dont like the way it blends into your skin I have use the smallest amount and it still doesnt blend well into my skin,0.0,0.08,0.92,-0.4449,Negative
I dont really like this sunscreen it leaves a horrible white cast its hard to spread on the face Just not for me,0.0,0.286,0.714,-0.7373,Negative
This is my favorite mineral sunscreen by far Being a mineral sunscreen it does leave a white cast as all mineral sunscreens do but it applies easily under makeup and helps protect my face all day It never irritates my skin and keeps it hydrated even in the dry cold weather If you are looking for a sunscreen that doesnt leave a cast look for a chemical sunscreen,0.202,0.033,0.765,0.9244,Positive
Im very fair skin but this is horrible white cast It does not spread into the skin looks like a white paste on face Disappointed They should change the formula,0.13,0.229,0.642,-0.7053,Negative
I have sensitive skin and have to use mineral sunscreen on my face It seems like every time I find one I really like it gets discontinued or just becomes really hard to find Thats why I bought this sunscreen I use CeraVe moisturizer and like it but this sunscreen is not great Im a pale person and it leaves a white cast It feels like it just sits on the surface of my skin all day giving me that uncomfortable clogged pores feeling Overall its just disappointing,0.136,0.138,0.726,-0.4832,Negative
I loved this product,0.661,0.0,0.339,0.5994,Positive
I bought it since it was CeraVe and all my skin products are from CeraVe I am giving it 4 stars since it makes my skin whiter and people keep asking me what the white marks are even when I try hard to spread it and make it less visible,0.05,0.029,0.921,0.25,Positive
Ok heres the thing I usually LOVE CeraVe products so I was very disappointed when I tried this sunscreen Usually I use Cotz Mineral Primer because it is literally THE BEST sunscreen Ive ever tried Its super smooth nongreasy and has 0 white cast In fact I often use it as a base makeup on the days that I want a more natural look The only issue I have with it is the price I was hoping to find a more affordable everyday option and only use Cotz on special occasions which is why I purchased this sunscreenThe moment I put it on I noticed that it was a super heavy and pasty consistency The other thing I immediately noticed was the white cast Normally I dont mind a little white cast especially if it sinks in and goes away This white cast did not go away I felt like I was putting on a white foundation because it clogged up my pores and dried out my skin Im wondering if the consistency is due to its level of sun protection since its SPF 50 Unfortunately I wont be able to wear this every day as I was hoping and instead will pack this away in the camping gear for long days in the sun where I dont care what I look like Overall definitely wont be buying again in the future,0.167,0.036,0.796,0.9838,Positive
This review is coming from a 40  yo male thats had some sun in the past with some rosacea I can only talk about my experience with the product and it might be good for othersPros is feels like a good moisturizer and makes the face feel really soft when its onCons even using a very small amount of this product it takes time to get it into the skinIf you are a man with some facial hair and you happen to get some on the hair you are gonna spend a lot more time getting it offLooksIn the sun or indoors with lights on I noticed a shine to it Without light or in the shade it takes a white tint to it which might be good if you are pale or a vampireOverall this product appears to stay on well with some tint abnormalities if you look like me but if you are a lady or a very pale guy it might be perfect for you Good luck,0.138,0.0,0.862,0.9674,Positive
Definitely protects you and great for your skin Kinda thick so little harder to spread but worth it,0.375,0.0,0.625,0.7506,Positive
This goes on easily feels great moisturizes and most importantly protects me from the sun  I have very sensitive porcelain skin This does the trick without anything in it that can cause cancer,0.27,0.129,0.601,0.7245,Positive
